outlet,avg_rating,total_reviews,positive,neutral,negative,no_text,pct_positive,pct_neutral,pct_negative,google_rating,rating_diff,total_reviews_bert,positive_bert,neutral_bert,negative_bert,pct_positive_bert,pct_neutral_bert,pct_negative_bert
Anytime Fitness Bedok 85,4.94,1003,810,184,9,147,80.76,18.34,0.9,4.9,0.04,856.0,820.0,26.0,10.0,95.79,3.04,1.17
Anytime Fitness City Square Mall,4.86,953,858,75,20,52,90.03,7.87,2.1,4.9,-0.04,901.0,845.0,30.0,26.0,93.78,3.33,2.89
Anytime Fitness Bukit Timah Central,4.9,882,671,189,22,164,76.08,21.43,2.49,4.9,0.0,718.0,670.0,25.0,23.0,93.31,3.48,3.2
Anytime Fitness Buona Vista,4.86,773,691,62,20,40,89.39,8.02,2.59,4.9,-0.04,733.0,680.0,26.0,27.0,92.77,3.55,3.68
Anytime Fitness Havelock Outram,4.91,606,472,125,9,99,77.89,20.63,1.49,4.9,0.0099999999999997,507.0,478.0,17.0,12.0,94.28,3.35,2.37
Anytime Fitness Chai Chee,4.83,552,403,138,11,117,73.01,25.0,1.99,4.8,0.0300000000000002,435.0,403.0,15.0,17.0,92.64,3.45,3.91
Anytime Fitness Ang Mo Kio South,4.88,539,463,66,10,54,85.9,12.24,1.86,4.9,-0.0200000000000004,485.0,466.0,8.0,11.0,96.08,1.65,2.27
Anytime Fitness Pasir Panjang,4.86,511,477,23,11,2,93.35,4.5,2.15,4.9,-0.04,509.0,481.0,15.0,13.0,94.5,2.95,2.55
Anytime Fitness Geylang Bahru,4.87,463,400,56,7,41,86.39,12.1,1.51,4.9,-0.0300000000000002,422.0,395.0,19.0,8.0,93.6,4.5,1.9
Anytime Fitness Jurong Summit,4.86,374,286,80,8,73,76.47,21.39,2.14,4.9,-0.04,301.0,281.0,9.0,11.0,93.36,2.99,3.65
Anytime Fitness Sembawang,4.78,366,346,13,7,3,94.54,3.55,1.91,4.8,-0.0199999999999995,363.0,341.0,14.0,8.0,93.94,3.86,2.2
Anytime Fitness New Upper Thomson,4.81,338,238,96,4,84,70.41,28.4,1.18,4.8,0.0099999999999997,254.0,225.0,17.0,12.0,88.58,6.69,4.72
Anytime Fitness New Queensway,4.78,303,279,14,10,1,92.08,4.62,3.3,4.8,-0.0199999999999995,302.0,277.0,13.0,12.0,91.72,4.3,3.97
Anytime Fitness Sunway Big Box,4.81,283,244,34,5,33,86.22,12.01,1.77,4.8,0.0099999999999997,250.0,235.0,9.0,6.0,94.0,3.6,2.4
Anytime Fitness New Tech Park,4.77,275,242,25,8,21,88.0,9.09,2.91,4.8,-0.0300000000000002,254.0,237.0,8.0,9.0,93.31,3.15,3.54
Anytime Fitness Yishun East,4.85,240,192,45,3,38,80.0,18.75,1.25,4.9,-0.0500000000000007,202.0,188.0,11.0,3.0,93.07,5.45,1.49
Anytime Fitness Upper Serangoon,4.88,235,202,29,4,21,85.96,12.34,1.7,4.9,-0.0200000000000004,214.0,201.0,9.0,4.0,93.93,4.21,1.87
Anytime Fitness D'Arena Jurong,4.94,203,172,29,2,27,84.73,14.29,0.99,4.9,0.04,,,,,,,
Anytime Fitness MacPherson Mall,4.97,126,122,2,2,0,96.83,1.59,1.59,5.0,-0.0300000000000002,126.0,123.0,1.0,2.0,97.62,0.79,1.59
Anytime Fitness Tekka Place,4.92,123,106,15,2,13,86.18,12.2,1.63,4.9,0.0199999999999995,110.0,106.0,2.0,2.0,96.36,1.82,1.82
